report_date,report_type,category,location_id,unit_of_measure,value_amt
2025-06-01,Slaughter,Calves,Victoria,000,80.7000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Australia,000,1064.0000
2025-06-01,Slaughter,Cattle (Excl. Calves),Western Australia,000,118.7000
2025-06-01,Slaughter,Cows And Heifers,South Australia,000,43.0000
2025-06-01,Production,Calves,Northern Territory,Tonnes,0.0000
2025-06-01,Slaughter,Calves,Tasmania,000,1.1000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Western Australia,000,48.8000
2025-06-01,Slaughter,Chickens,Australia,000,189935.2000
2025-06-01,Production,Sheep,Queensland,Tonnes,26.0000
2025-06-01,Slaughter,Sheep,Australia,000,2511.5000
2025-06-01,Production,Lambs,Australia,Tonnes,167162.0000
2025-06-01,Slaughter,Lambs,Victoria,000,3515.6000
2025-06-01,Production,Pigs,New South Wales,Tonnes,16963.0000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",South Australia,000,48.1000
2025-06-01,Slaughter,Calves,Australia,000,102.6000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Queensland,000,594.6000
2025-06-01,Slaughter,Cattle (Excl. Calves),South Australia,000,91.1000
2025-06-01,Slaughter,Cows And Heifers,Western Australia,000,69.9000
2025-09-01,Production,Pigs,Western Australia,Tonnes,18602.0000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Northern Territory,000,0.0000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Western Australia,000,46.3000
2025-09-01,Production,Chickens,South Australia,Tonnes,0.0000
2025-09-01,Production,Chickens,Western Australia,Tonnes,0.0000
2025-09-01,Slaughter,Lambs,Queensland,000,19.2000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",South Australia,000,55.6000
2025-09-01,Slaughter,"Bulls, Bullocks And Steers",Tasmania,000,25.3000
2025-09-01,Production,Calves,Australia,Tonnes,5627.0000
2025-09-01,Slaughter,Lambs,Australia,000,5202.0000
2025-12-01,Slaughter,Calves,Western Australia,000,0.2000
2025-12-01,Production,Total Red Meat,Australian Capital Territory,Tonnes,0.0000
2025-12-01,Slaughter,Pigs,New South Wales,000,216.8000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Western Australia,000,50.9000
2025-12-01,Production,Calves,Australia,Tonnes,3118.0000
2025-12-01,Slaughter,Cattle (Excl. Calves),New South Wales,000,543.4000
